text,label
куртка маломерит  по сетке не проходит,одежда
"Не указан материал, сделано очень грубо, швы плохие, мне попался с дыркой на рукаве.",нет товара
"Дешевая синтетика, все липнет, размер вообще не понятный короткая и широкая",нет товара
"свой заказ так и не получила!!! а этот недобросовестный продавец взял и закрыл его!!! и теперь ни денег,ни заказа!!!",нет товара
товар так и не получен. но деньги продавец вернул очень быстро.,нет товара
"Заказ так и не пришёл! Деньги не вернули, хотя спор выиграл. Не рекомендую этого продавца",нет товара
Очень плохой заказ.  Сделано кое-как. Нитки торчат. Шитье пришито неровно. Заказ шел очень долго.,одежда
нет товара и денег тоже нет.,нет товара
"Не подошёл размер , деньги не вернули",нет товара
"неприятная к телу синтетика, и такое чувство, что до меня ее носили. не тратьте деньги, не стоит она этого.",одежда
"Шерты просвечивают, футболка свободная, очень хорошо за эту стоимость",нет товара
"Футболка пошито очень качественно. Все швы ровненькие. Материал плотный, приятный на ощупь.",одежда
Доставка до спб 35 дней.,нет товара
"скроена как то странно, нет переда и зада, из-за этого топорщится под грудью. размер соответствует. рукава не короткие.",одежда
джинсы сильно воняют... на рост 165 размер 27 очень короткие по длине.. продавец обещал скидку сделать если ещё закажу и я поверила заказала еще маме...а он обманул...скидки не было.. и вторые джинсы не айс...,одежда
"ужасное  качество,  привезли кофту не как на картинке,  лишь жалкая пародия",одежда
"Все хорошо,заказываю второй раз в другом цвете.По платной доставке дошло за 17 дней.",одежда
"отличная жилетка.  брала размер м на параметры 88-67-92. внизу широковата,  не приталеная.  на карманах нет молний,  качество пошива отличное. доставка три недели,  трек отслеживался.  наполнение пухом нормальное.",одежда
"К сожалению сильно разочаровало качество отделки. Сама толстовка хорошая, но манжеты и резинка в низу - просто ужасны!",нет товара
Прекрасное платье за свою цену! На рост 168 и 44 р-о М-ка села идеально.Длина оказалась до пола.Из минусов - синтетическая ткань юбки при активных танцах начинает электризоваться))),нет товара
"ожидала другого,с цветом все впорядке но вот сам фасон вообще не сидит и не подчеркивает фигуру ...как в мешке,ленты тоже кое как вставлены все рваные ....рукава короткие хотя рост у меня 164",одежда
"все супер, заказываю уже третий раз",нет товара
"юбка классная!  швы ровные, ниток торчащих нет, я довольна!! однозначно рекомендую. на бедра 103, рост 170, вес 73 -xxl сел идеально.",одежда
не доставлены,нет товара
"Платье по качеству не плохое, при росте 162 разрез почти на попе, длина до колен не доходит, цвет не соответствует картинке, пришёл светлее, не красивый цвет",нет товара
Рубашка хорошая ! Спасибо продавцу !,нет товара
"заказывала L. ,маломерит,хотелось бы на размер больше, но не критично",обувь
"К сожалению, платье  не соответствует фотографии и описанию, на которой представлено платье. Размер «S»  очень сильно велик в талии, в плечах. Рукава сильно короткие. Длина платье, не то, что мини, а минимини.",нет товара
Не понравились как сидят,обувь
Прикольная толстовка на весну -осень. Соответствует цене - качеству.,нет товара
на фото длинный топ фактически он короче сантиметров на 10. и смотрится из за этого  совсем не так хорошо как на фото,одежда
"Шикарное платье!!!!!!! Это моя лучшая  покупка! Кто сомневается, берите - не пожалеете! Я взяла М, на параметры: 88-70-92. село идеально. Доставка курьером, через месяц!",нет товара
"Ткань тонкая, белье просвечивает.",текстиль
"ночнушка нормальная,прозрачная только.подмышки маленькие,но что странно,из-за них не тянет.немного есть. запах.",одежда
Платье очень крутое  !!по размеру ! Качество на высоте!всем советую!!!!,нет товара
"Продавец дал трек чужой посылки.Когда покупатель получил платье по другому адресу, открыла спор. Продавец отказал в возврате денег.
Али вернул. Продавец разочаровал, хотя ранее уже покупала у него.",одежда
"Отличные штаны,  очень тёплые. Доставка 3 недели. На объем бедер 104 см отлично подошёл размер XXL .",нет товара
размер на меня не подошел маленький был,одежда
"долго шел, нитки торчат",текстиль
Очень маленький размер на рост 176,одежда
"Платье так себе. Ткань дешевая, размер XL соответствует максимум нашему 44. На картинке выглядит достойней.",нет товара
"Приятная, нежная ткань. Хороший комплект. только цвет не такой сочный, как на картинке.",текстиль
Размер не соответствует s я тону в этом свитаре будто размер М! Качество понравилось мягкий крутой но размеры на жирных телок s мне велико хотя я далеко не худышка все висит на мне,нет товара
качество плохое. Я б ее и за 200 рублей не купила. воротник вобще из другого материала. не советую!,одежда
"4 месяца прошло так и не получила кофту,причём уже второй раз такое,первый раз заказала Ее же и не пришла,история повторилась снова,доставка просто никакая",нет товара
"материал ни о чем. после стирки полинял. Радует только то,что пришёл без брака и во время. С доставкой у продавца все в порядке.",бытовая техника
Выглядит и носится гораздо хуже чем на фото. Недовольны,нет товара
"ничего не пришло,  совсем забыла о данном заказе.Вышлите или верните деньги",нет товара
"До СПб дошел заказ за три недели.Очень порадовало,что курьер принес на дом.Сам свитшот/толстовка очень классный.Мех приятный,немного лезет,стирку выдержал.Избелие выглядит дорого.Буду носить с удовольствием!",одежда
посылка не доставлена,нет товара
"Кофтюля классная! Цвет насыщенный, материал плотный, качественный, дешманским китаем и не пахнет. Облегает конечно мощно. Доставка быстрая, 2 недели.",нет товара
Очень мала. Размер ХХХL не соответствует. Подошла на 44-46 размер.,нет товара
https://m.itao.com/detail/show.htm?postId=3000006674831467&lang=ru написала подробный отзыв об этом свитере!) много фото,одежда
"Брала мама 52 размер, отлично подошёл , претензии не имею .. в носке приятен и красив )) чёрный цвет хорошо смотрится )) спасибо продавцу",обувь
очень  лёгкая но не просвечивает  к телу  приятно  смотрится супер размер  соответствует действительности на 42 брала  s,одежда
"по качаству хорошая, но оказалась чутка короткой.",одежда
"На рост 164см очень очень короткое. Выше колена на 20см. На р. 44 налезло нормально, но чтобы было как на картинке должен быть размер 40 максимум",нет товара
вместо шорт продавец прислал какую-то хрень,одежда
"товар не пришел деньги не вернули , продавец обманывает ни первый раз уже, ничего не заказывайте, это обман у этого продавца",нет товара
"качество пуховика не плохое, но смутили пятна не понятного происхождения",одежда
Маловата в груди(( и манжеты куцые какие то,нет товара
"Заказываю вторую такую и всем советую.  Тёплая,  удобная,  хорошо стирается. Доставка две недели до Мурманска.",бытовая техника
"не получил товар
при этом стоит отметка о вручении",нет товара
"Прошито не аккуратно, на рукаве есть распущенные нитки.",нет товара
"Рубашка пришла за 8 дней, довольно быстро, рукава оказались короткие, в талии очень широко",нет товара
"товар ждали два с половиной месяца...!Не дождались!!! после открытого спора и недельной переписки с продавцом, вернули деньги!!!",нет товара
"доставка очень быстрая, но как мне кажется единый размер очень маленький, на S похож",одежда
"очень широкие рукава, размер М на мой С велик в рукавах, но маловат в груди(86). и самое главное, не было шнурка.... как без шнурка не носить представить мне крайне сложно, так что огромный -",нет товара
Большая,нет товара
"На мой рост(157см)не подошел,слишком короткие.Сшито очень плохо.Лосины не стоят таких цен",одежда
"Товар не соответствует описанию и не похож на фотографии. Ожидала плотную зимнюю хлопковую юбку, а пришла синтетическая гимнастическая юбка. Смотрится совсем не так, как на фотографиях по форме и по ткани.",нет товара
все отлично как на картинке и в описании рекомендую пришло за две недели до Сургута,бытовая техника
"Идеально) тянутся но не просвечивают, мягкие и удобные",обувь
очень понравилось. смотрится хорошо и теплая,одежда
"В Краснодар шла около месяца. 
Размер xs подошел отлично.
Все кнопки рабочие, цвет хороший. 
Юбкой довольна!",обувь
"Размер не соответствует, s как m, фасон странный, сама кофта широкая, спереди короткая, рукава длинные, носить не буду.",обувь
"Качество отличное, размер подошёл. Классная кофта",нет товара
отличная блузка отслеживалась пришла за 10 дней,одежда
На рост 175 коротко,одежда
"Рукава короткие чуть чуть. Пришёл очень быстро ,16 дней. Курьер привёз. Молния заедает. На температуру -10 максимум.",нет товара
"очень милая юбочка,но блин на мой  рост(170) она короткая,но на лето сойдет ,спасибо продавцу",обувь
"шло 2 месяца,но неплохо",нет товара
"не получила, деньги вернули",нет товара
"Свитерок отличный ,качество супер ! На свой 46 взяла L ,но можно было и М взять ! Продрала рекомендую !",одежда
"Юбка отличная! На параметры 60/90 взяла S, сидит идеально. Никакого запаха и торчащих ниток. Рекомендую!",одежда
сильный запах.  вид ношеный. рукова короткие.,одежда
ткань неизвестная....очень тонкая....куда его носить даже незнаю....,текстиль
"Не стоит заплаченных денег((( ткань плохая, полоска чёрная на самом видном месте",текстиль
"Блузка без вытачек для груди, за счёт чего грудь расплющивается",нет товара
Отличный и качественный товар!!!,электроника
"материал плохой, просвечает и одна сентетика",текстиль
"Очень хорошие штанишки, трикотаж прямо бархатный, СПАСИБО",нет товара
"ждала 3месяца,так ничего иполучила,открыла спор продавец не хотел возвращать деньги,спасибо Али.вмешались ,деньги вернули..",нет товара
"На российский размер 46 - L отлично. На рост 174 см рукава по длине не короткие. Мои параметры грудь 94, бедра 95.",нет товара
Маломерят. Рукава и длина оказались коротки,нет товара
"Everything is perfect, I can't find proper words to express how much I love this sweater! It's soft, warm, fits me perfectly and looks expensive (:",одежда
довольна:) толтко долиноватое,нет товара
"К сожалению, ткань не очень порадовала и материалом, и запахом.
Также на ней был брак в виде чёрных пятен, которые не отстирываются. Надеюсь, в будущем качество будет лучше",текстиль
"заказала 31.05 получила 4.07. трек не отслеживался. кардиган тонкий,на лето самое то. Заказывала l на рус.42 длина норм,а рукава короткие.(нужно было заказать xl)",одежда
"Это какой-то обман, материал из которого сделано платье не хлопок а дешёвая синтетика, ткань электроризуется и прилипает к телу. Хотя на этикетке написано что хлопок.",нет товара
Ужасно пошито. Очень жаль.,нет товара
На рукавах резинка не тянется. Ворот короткий. Карманы разного размера и маленькие. Очень тонкая. Мне она было слишком свободна.,нет товара
Классный костюм))) для моего роста штанишки можно было бы покороче ) пришёл очень быстро),нет товара
"Качество отвратное, дошла быстро, но денег своих не стоит!!!",бытовая техника
"Шло в Москву очень долго, доставка хреновая. Открыла спор, вроде деньги вернули. Но долго продлевали защиту несколько раз. Лучше не продлевайте - нет смысла ждать. Продавец вроде общительный.",нет товара
Не очень.,нет товара
"Ничего не получила, а прошло уже 4 месяца!!! Развод!!! Предлагает ждать ещё!! Смешно уже!! Люди не ведитесь!!!",нет товара
"шапка маленькая, на ребенка",товары для детей
"на 48 размер,  объем груди 96см., xxxl велико.",одежда
"пришло быстро, всё понравилось",бытовая техника
"Так ,что то не очень.Одно радует рукова  нормальные.А вот длина убки выше колен,а не до колена.И МНЕ КАЖЕТСЯ, ОНО ПОЛЕНЯЕТ ПОСЛЕ СТИРКИ.",нет товара
"Отличная юбка! Качественный принт, приятная ткань (сильно тянется). Размер подошел (на 48 размер брала XL). Спасибо продавцу. Собираюсь заказывать еще такую, но в другой расцветке",нет товара
"Отличное качество, мама довольна",обувь
"Товар не пришел, продавец не соглашался со спором , ждала 4 месяца ,Алиэкспресс добавили решение вернуть деньги .",нет товара
"Отличный комбинезон, обхват груди 126 см, взяла xl. Подошёл отлично, по длине был очень большой, но отнесла в ателье, перешили. Теперь ношу не снимая",нет товара
"товар не пришёл, деньги продавец не отправляет, на смс не отвечает.Ужас",нет товара
"Носки хорошие и подошли по размеру, приятного качество и не тёплые !!! Но ждали полтора месяца!!!!",текстиль
"не совсем то, что на фото.",нет товара
"спасибо , кофта нравится очень, пришло достаточно быстро))",одежда
Too long. And a bit too tight in the chest.,нет товара
"Маленький размер, очень посредственное качество, неприятный запах.",обувь
"изделие не держится на теле, из за малого слоя силиконовой основы.",одежда
"Леггинсы классные, хорошо тянутся. Брала два цвета. Очень довольна. Закажу еще в подарок. Спасибо продавцу!",нет товара
"очень хорошая кофта хотя это скорее идёт как туника, заказ пришел быстро, заказала 11.11 получила 30.11",одежда
"цвет вообще не соответствует,  мне не понравилась. качество хорошее,  но ожидала другого.",одежда
"Не очень красивые, какие-то слишком яркие.",украшения и аксессуары
"товар на  три размера  меньше пришел написано  было 2XL ,  а прислали на размер M очень вами разачарована.",одежда
"Шло 35 дней,трек не отслеживался.  Жуткая синтетика (",текстиль
Все здорово,нет товара
"платье подошло по размеру, материал лёгкий, синтетика, немного узковаты в рукавах. Брала маме на размер 60",одежда
"Заказывала два месяца назад . Срок истёк , продавец продлил . Снова истёк срок. Открыла спор . Продавец не хотел возвращать деньги . Через две недели спора , деньги все таки вернули . Не советую",нет товара
"Заказала шарф 13.10, а пришёл ко мне в Крым он уже 28.10. Доставка быстрая! Шарф просто любовь с первого взгляда и прикосновения. Очень мягкий, тёплый и большой. Цвета яркие, как на фото.",текстиль
"Красивое тонкое платье, для смелых девушек. Размер соответствует.",одежда
"Заказ получила очень быстро за 15 дней до Оренбурга. Качество хорошее, но размер 5х на 54 большеват. Надо было заказать меньше. В следующей раз учту.",нет товара
"Товар заказывала в апреле,до августа так и не пришёл,деньги продавец вернуть отказался.Не рекомендую",нет товара
"не соответствует описанию, не ровные швы, возле молнии дырочка, местами вылазиют нитки.",одежда
заказ не пришёл! Деньги не вернули,нет товара
"Футболка понравилась, синтетика конечно, но с такой я знакома, носить можно, не в жару. Принт яркий, палитра цветов теплая,
 L  на 46-48 подошёл, пошив аккуратный. Доставка бесит, 1.5 месяца СДЭК, лучше бы почтой.",одежда
"качество нормальное! но доставка оооочень долго, защита закончилась, до Омска 62 дня.",бытовая техника
"Быстро отклеивается, придется каждый раз поддрживать",нет товара
"Не честный продавец. Не советую ничего у него заказывать. сначала кормит обещаниями и придумывает отмазки что товар в пути, а потом и вовсе игнорирует. Спасибо что через спор мне вернули деньги.",нет товара
очень плохое качество( смотрится отвратительно. дешевка. не рекомендую. размер не соответствует,одежда
Очень прозрачное,нет товара
"хорошая вещь, но они разной длины( это сильно заметно. если опустить ниже, то резинка не держит и всё скатывается к щиколодке. закатать тоже не вариант - виден шов. пустая трата денег",одежда
"хорошее качество,но на высокий рост будут брюки короткие",одежда
"Товар доставили курьером на дом, костюм хороший, но на рост 170 брюки короткие. Вес 54 кг- размер М подошёл",нет товара
"Заказывала размер М на свой 44 в самый раз есть немного торчащие нитки но это не страшно ,а так швы ровные  вообщем я довольна посылка прибыла в 3 недели в Кировскую область",нет товара
"получила заказ, размер не подошел, плюс пятно возле ворота( ожидала от заказа большего(",одежда
все отлично. спвсибо,нет товара
Голая синтетика. Очень низкое качество.,текстиль
"Спасибо, очень довольна товаром. Рейтинг мягкие, не стягивают ноги, приятны к телу. На 46 размер заказала хl,  сели отлично.",обувь
"товар к сожалению не получила,продавец вернул деньги.",нет товара
"Не получила заказ, продавец вернул деньги",нет товара
"долгая доставка,чулки так себе,не успела одеть сразу стрелка пошла. носить постоянно их не возможно,так если только на один раз померить",текстиль
пришел быстро. цвет - жуть. грязный молочный беж...качество на 3...где зад где перед не понятно. носить не комфортно. плотный зимний. швы торчат. не колется но чешется.,одежда
"Отличное качество, очень мягкий",текстиль
так и не получила заказ. деньги вернули,нет товара
"платье супер,нигде не просвечивает вообще я довольна",одежда
"слишком яркий розовый ,я как ёб*@#ая Барби",одежда
Заказывая розовый. Только из за цвета. Пришёл цвет не понятно какой - бордовый . Покупкой не довольна. Обман покупателя!,одежда
на картинке  красиво в реалности третий сорт не брак,нет товара
Всё супер я очень довольна.,нет товара
Все супер!!! быстро подошла по размеру М,нет товара
"Понравилось,чуток в длину великовата (рост 155) цвет крутой, очень модный в этом сезоне.",обувь
товар не пришел .  но через спор продавец вернул деньги .  спасибо .,нет товара
"хороший свитер,но он не такой широкий и рукава вообще не по всей длине,но подошел,так что 4.продавцу спасибо.",одежда
"Очень грубая пряжа,даже после стирки ,на рост 150-160,короткий и свитер и юбка,смотрится несуразно ! Жаль потраченных денег.",одежда
"Ткань слегка тонковата, но всё же достаточно теплая. Рисунок пропечатан слабо и нечётко, нитки торчат из всех швов, пришлось подрезать  и закреплять, но на зиму в качестве домашней кофты более чем)",текстиль
Юбка просто замечательная!Описание было точным и дошла довольно быстро. Нет никаких дефектов или запаха.,нет товара
"Относительно размера советовалась с продавцом, он посоветовал размер L, заказала, в итоге висит на мне, как на вешалке. Недовольна таким советчиком.Юбка не такая яркая как на представленном продавцом фото, менее плотная.",обувь
"Посылкой очень довольна.Шла месяц, что немного огорчает.На ощупь приятная, подошла по размеру.Берите на размер больше.Спасибо продавцу за подарочек.",нет товара
"кофта пришла ооочень маленького размера , т .е вообще не соответствует размеру я разачерованна.",одежда
ужас.Лучше бы я  этого не покупала.качество-плохое.,бытовая техника
классная юбка за неделю,обувь
"Доставка быстрая, халат неплохой но очень воняет,надо проветривать долго",текстиль
товар мне не понравился открыли спор.Продовец оказался добросовестным и вернул мне деньги,нет товара
"заказ шёл ну очень долго, да еще и как нарочно они коротки мне. вцелом осталась не довольна. заказывала М(мой рост 168, об 87) у кого ножки длинные можно L заказать",одежда
качество хорошое..но размер не подошел,одежда
"Кароч я заказала этот товар и он че  то долго не приходил,открыла спор,сразу же пришло извещение там написано СРОЧНО забрать,джинсы пришли в хорошем виде,нормальные
Гребанная почта России",одежда
"качество отличное, но размер не подошел хотя заказывала на свой размер",одежда
пришли с браком,нет товара
Вещь только на маленькую грудь. Никакой второй размер туда не поместится и ничего не держит. Может служить только в качестве накладки для тех у кого на теле минимум.,нет товара
"куртка очень красивая пошита качествено  , доставуа быстрая",одежда
Заказ не пришел! Верните деньги!,нет товара
"Платье пришло с дыркой. Продавец просил не открывать спор, но ничего не предлагал и тянул время. Спор открыла, деньги вернули. Если бы не дыра на видном месте, то платье классное.",нет товара
платье велико в бедрах. хоть и размер с. быстрая доставка. смотрится не очень. вырез ворота ужасный.,одежда
"Всё было бы прекрасно, если б не цвет. Заказывала бирюзовый свитер, а пришёл белый. Не критично, но всё же.",нет товара
"Очень красивый цвет) и очень порадовало то, что он такой длинный",нет товара
Пришли три свитера разного размера,нет товара
"Ужасный продавец! Лохотрон какой-то! Долго не отправлял заказ, деньги возвращать не стал. В итоге, отправил посылку, пришло это. Хамство просто. Деньги вернул AliExpress, спором.",нет товара
Платье пришло. Хороший товар. Продавцу 5 звёзд.,нет товара
Штаны мне не понравились. Сильно собираются. Носить не буду,нет товара
"Синтетика, в центре груди проходит шов-не ровный, швы у гипюра кривые, швы в майке норм.",нет товара
Классное качество и с размером угадали!,обувь
хорошая теплая кофта. все как в описании,одежда
"Штаны очень КОРОТКИЕ на мой рост 170 см, как бриджи",нет товара
"Нуууу, заказ пришёл и ушёл! так как не отслеживалось нормально, деньги теперь не вернуть и оповещяний не было... печально...",нет товара
"Получила заказ быстро, но качество оставляет желать лучшего!!! На фото видно, нитки торчат со всех сторон.",нет товара
"Товар так и не птовар не пришёлришёл, заказ был на несколько пар",нет товара
"шло 3 месяца, деньги возвращать не хотели все просили подождать",нет товара
"куртка качественная,на прохладную осень. Размер,который посоветовал продавец по моим параметрам, оказался велик. в эту куртку две меня влезет, поэтому 1. Печально:(",одежда
"посылка до сих пор не доставлена, хочу вернуть деньги назад",нет товара
"ПРОДАВЕЦ ТОВАР ОТПРАВИЛ В ДРУГОЙ ГОРОД, НА ОБРАЩЕНИЯ МОЛЧИТ, ДЕНЬГИ НЕ ВЕРНУЛ.",нет товара
"Доставка быстрая до Новосибирска ,ветровка отличная ,сшита хорошо по размеру подошла только рукава коротковаты мне ,придётся задирать как три четверти ,а так все отлично !Спасибо !",одежда
"большой, теплый, уютный свитер) длинные рукава, возможно, даже слишком:) вышивка выполнена очень аккуратно и только спереди. свитер вживую выглядит в точности как на фотографии) отличный вариант на осень-зиму!",одежда
"размер больше , чем заявлено в таблице.ткань синтетика.",одежда
Ужасная синтетика.,текстиль
Пришли большие,нет товара
Ужасссноооо. Я не довольна.,нет товара
"Качество не очень понравилось, синтетика и тонкая очень. И с размером не угадала- большая мне.",нет товара
"качество туфта, размер маленький. Они не стоят этих денег.",обувь
"шел очень долго
на вид неплохой",нет товара
Пришла примерно за неделю. Ткань тоньше чем ожидалось примерно как обычная кофта. Материал не совсем хлопковый и при соприкосновении с кожей колется.,текстиль
Полностью не соответствует описанию,нет товара
"Рубашка очень сильно маломерит, непонятный крой и низкое качество ткани",нет товара
"доставка быстрая, материал приятный к телу, стирку в машинке футболка пережила хорошо, заказывала м на русский 44-46)))",бытовая техника
"Отличная рубашка! Заказывала маме - село хорошо. Материал приятный, фасон интересный. 
Цвет как в объявлении (на фото смотрится более кирпичным из-за желтого освещения).",одежда
пришла кофта. на размер 83-73-93 рост 175 размер Л идеально. немного коротковато. Мне кофта понравилась. заказом довольна.,одежда
Заказ не пришел. Был открыт спор.Деньги вернули.,нет товара
"Товар не пришёл. Заказывала ещё в марте, уже июль.",нет товара
Товар хорошего качества. Пришёл за 4 недели.,бытовая техника
"Товар так и не пришел, прождал больше двух месяцев",нет товара
"продавец вообще не отправил товар, два месяца мозг парил, урод.",нет товара
заказ не получила!!!! денег не вернули!!!,нет товара
товар за 3 месяца ожидания не пришел,нет товара
Не качествено. Очень маломерит,обувь
куртка пришла быстро но рукава оказались настолько короткие что не можем найти теперь такого человека кому бы такое подошло,одежда
"В размерах указано грудь 104 см. У меня грудь 102 см и мало. Ткань тонкая, просвечивает, нитки торчат, местами не прошито. Покупать не советую",нет товара
"размеры маек очень некорректно отображены в размерной сетке .майки короткие и широкие . подойдут только на низких и полных девушек . материал вискоза , по пошиву претензий нет .",одежда
"и ткань и цвет, не соответствуют, на картинке темно коричневый, по факту рыжий практически, ткань не плотная((((",текстиль
"Не пришли. Продавец делал все, что бы не возвращать деньги",нет товара
"Начиталась отзывов и поверила. А зря. На свои объемы - объем груди 89, объем талии 65, выбрала размер L, он мне велик. Лучше бы взяла м.",нет товара
"Свитер короткий ,на фото он намного длиннее",нет товара
заказ не пришел. деньги вернули через 4 месяца.,нет товара
очень ждали и еифига,нет товара
"Прекрасный костюм.Мягкий,уютный и очень тёплый!!на 88-67-90 и рост 170 подошёл прекрасно.стоит своих денег.рекомендую.спасибо продавцу за качественный товар и быструю доставку!!",одежда
Сборки в коленках. Не обтягивают,обувь
