text_clean,label_final
"понравилось,чуток в длину великовата  рост 155  цвет крутой, очень модный в этом сезоне.",одежда
"красивый только цвет. фактура тон кая, хоть и мягкая, и тёплая. фурнитура дешевая  шнурок, бегунок молнии. качество швов ужасное, на самом видном месте торчат нитки",одежда
"заказала размер s, платье оказалось очень велико, придётся ушивать, материал синтетика, пришло очень быстро за 13 дней",одежда
"прекрасная туника. качество на высшем уровне,продавец очень общительный.идет размер в размер. я довольна покупкой,советую и товар и этого продавца",одежда
"юбка пришла с задержками но пришла ,очень хорошая,на рост 145 самое то но подтяжки свободно",одежда
видела бы в магазине - не купила бы... качество отстой,одежда
слишком тонкие,одежда
отличное качество товаров,одежда
"просвечивает и короткая, хотя на фото она не такая прозрачная",одежда
"плохо прошиты швы, в этих местах материал собирается",одежда
"тёплые, цвет соответствует картинке. по размеру подошли. всё отлично.",одежда
"заказ шёл ну очень долго, да еще и как нарочно они коротки мне. вцелом осталась не довольна. заказывала м мой рост 168, об 87  у кого ножки длинные можно l заказать",электроника
"пришла за 23 дня.качество прекрасное.ткань похожа на плотный стрейч, на осень прекрасно. кружево мягкое.",одежда
джинсы пришли с пятнами,одежда
"ткань довольно тонкая, но я брала для косплея, так что норм. размер s на мои 91-66-97 довольно свободно висит, на рост  170 по длине великовато",одежда
"была маленькая дырочка, и полноразмерная",одежда
"материал плохой, просвечает и одна сентетика",одежда
все супер! доставка месяц  спасибо продавцу  ,украшения и аксессуары
"очень милая и приятная на ощупь, пришла очень быстро",одежда
"качество нормальное. но сильно маломерят. заказала м, а она в лучшем случае хs.",нет товара
"очень милые носочки, качество не плохое",одежда
"мало того, что заказ отправили не туда. так еще и деньги не возвращают",украшения и аксессуары
"заказ шел 2 недели. думала, что качество будет получше, да еще и дырка на штанах. вообщем не очень понравились.",электроника
не пришли!!! спор ничего не дал! не берите к этого продавца ничего.,нет товара
"заказывала м на 165 рос 60 кг, но было мол мерка не влезла. качество отличное",нет товара
самый долгий заказ на алиэкспресс.,украшения и аксессуары
платье велико в бедрах. хоть и размер с. быстрая доставка. смотрится не очень. вырез ворота ужасный.,одежда
трусы не пришли,одежда
"много торчащих ниток,внутри шов на шортах не ровный,и где лиф ажур вообще неровный",одежда
супер-пупер! пришло за 17 дней по бесплатной доставке !!! очень понравилось как смотрится,одежда
"это прям ужас, не поняла восторженных отзывов, мне носить не хочется, тряпка! везде нитки, швы никакие.",одежда
"ткань тонкая, размер l идёт на м",одежда
"платье не подходит по описанию очень плохо,теперь что делать незнаю!больше не одну вещь тут не закажу,!",одежда
"колготки очень короткие, на пост 162 не подошли совсем! стрелка не очень ровная и толстая. не советую здесь покупать.",одежда
"качество не очень понравилось, синтетика и тонкая очень. и с размером не угадала- большая мне.",одежда
"товар пришел быстро. но без толку. вещь являет собой просто вырезанную тряпочку с одними лишь боковыми швами. ни горловина, ни низ, ни пройма даже не оверложены! убожество!!!",одежда
"так ,что то не очень.одно радует рукова нормальные.а вот длина убки выше колен,а не до колена.и мне кажется, оно поленяет после стирки.",одежда
прекрасное платье за свою цену! на рост 168 и 44 р-о м-ка села идеально.длина оказалась до пола.из минусов - синтетическая ткань юбки при активных танцах начинает электризоваться   ,одежда
качество ужас...,одежда
"терпеливо ждала 4 месяца, но ничего так и не пришло",одежда
"на 48 размер, объем груди 96см., xxxl велико.",одежда
"заказывала 3 розовые и 2 светло-розовые ,в итоге пришли 5 одинаковых шапок !!!",нет товара
все хорошо но она просвечиваеться более летний вариант,одежда
"очень хорошая кофта хотя это скорее идёт как туника, заказ пришел быстро, заказала 11.11 получила 30.11",одежда
пришло с браком,одежда
"шло в москву очень долго, доставка хреновая. открыла спор, вроде деньги вернули. но долго продлевали защиту несколько раз. лучше не продлевайте - нет смысла ждать. продавец вроде общительный.",нет товара
"красивый бордовый цвет, хорошая форма.даже на моих маленьких параметрах груди смотрится хорошо  79-62-92 ,достаточно свободна. доставка- недели две до мск.очень довольна!рекомендую.",украшения и аксессуары
"качество хорошее, швы ровные, приятная ткань, не синтетика",одежда
с размером ошиблась. на российский 50 52 точно меньше надо брать чем 5 xl. немного мешковато сел. а так вещь понравилась,одежда
товар не пришел. и не отслеживался. деньги не вернули.,нет товара
"качество отличное ,доставка до башкирии 3 недели",товары для детей
"прекрасные шорты! отличное качество, сидят хорошо, быстрая доставка. взяла s сели отлично не маломерят. спасибо !",одежда
"брюки хорошие, но написано в описании что они теплые, а по факту тонкие не утепленные. очень разочарована этим обманом. заказывать у этого продавца больше не буду.",одежда
"цвет не тот что заказывали , рубашка с браком, швы разошлись и рваная. в остальном все устраивает",одежда
все подошло . ткань не очень.,одежда
"платье огромного размера, пошив не фабричный, нет никаких лейблов, края не обметаны, сама ткань не плохая,тяжёлая, тянется, возможно будут катышки, заказом осталась недовольна, за эти деньги на а ли можно купить вещь лучше.",одежда
"всем рекомендую,классный свитер",одежда
отличная удобная кофточка,одежда
"х б носочки,хорошее качество,пришли вовремя,дочь очень довольна.",товары для детей
"ожидала другого от этого платья ,материал очень тонкий .осталась не довольна покупкой .",одежда
очень маленькая. размерная таблица не соответствует действительности. на ог 86см брала м.,одежда
"заказываю во второй раз. качество так же на высоте, размер m подходит на бедра 93 см. кружево тонкое и швы под одеждой не заметны. спасибо большое!",электроника
продавец прислал не тот свитер!! я очень расстроена!!!,одежда
плохое качества это платье даже 300 руб не стоит    ,одежда
"долго ждала посылку. оказались велики, хоть и выглядят как колготки, но сваливаются при ходьбе",одежда
жутко просвечивает. и вверх и низ. заказывала розовое. фатин желтый. я разочарована. носить не буду.,нет товара
"товар доставили курьером на дом, костюм хороший, но на рост 170 брюки короткие. вес 54 кг- размер м подошёл",одежда
"рисунок на вещи не совпадает, рукава широкие",одежда
"доставили очень быстро. качество отличное, выглядит маленьким, но хорошо тянется, по весу тяжелый, мягкий. на размер 46-48 взяла xl, подошёл. рукава нормальные, не короткие. очень теплый свитер.",одежда
"синтетика сплошная, мало, брала размер l на рост 158, грудь 90, талия 70, бедра 98. обтянуто как любительскую колбасу. жаль деньги, буду как то расшивать, но синтетику не очень хочется носить...",нет товара
"доставка быстрая, соответствует описанию и картинке. на свой 44 размер брала м. платье короткое, резинка туговатая, но на одно плечо сидит хорошо. оценку снижают за ткань. не приятная, скользкая ...",одежда
заказ шел долго. супер эффекта не нашла. стрелки пошли после первой носки! таких денег не стоят однозначно.,нет товара
"топ короткий. очень короткий. почитала отзывы, специально взяла на размер больше, но напрасно. так что имейте в виду.",одежда
"туника пришла без размерная, рукава короткие с ужасным запахом",одежда
"не пришли,спор длился недели 2-3..",украшения и аксессуары
"платье на фото бежевого цвета, в реальности оно пудрового, почти розового цвета. в принципе, платье бомба. удовлетворил и размер и материал. но цвет не то, что на картинке. печально.",одежда
"хорошая водолазка, но очень тонкая, меня сильно обтянула! на параметры 93-60 хотелось бы на размер больше!",одежда
"товар не пришел. деньги вернули. но продавец хороший и милый. просто, может быть, мне не повезло.",товары для детей
"товар так и не пришёл. вместо блузки прислали резиновых опарышей  !!!  ржали долго  правда продавец обещал отправить другим заказом, но пока глухо. за опарвшей отдельное спасибо.",нет товара
"трусы не плохие ,но две шт. из пяти не соответствуют заказанным  замена расцветки на худшию ,одни из них большего размера,мне велики ,остальные на о.б. 98 сели хорошо.",одежда
не по размеру и плохо пошито,одежда
"на мой рост 157см не подошел,слишком короткие.сшито очень плохо.лосины не стоят таких цен",одежда
"до хабаровского края дошла за месяц, трек отслеживался, качество отличное, очень понравилась, правда электризуется, подошел размер xxl на рос.50",одежда
"отличные трусики , буду заказывать еще. на размер 46 брала xl. доставка быстрая, трек отслеживался.",украшения и аксессуары
спасибо все подошло,одежда
наверно хорошие а так не получили,одежда
качество на троечку,одежда
жаль товар так и не получила.открыла спор вернули деньги.потерялся наверное на просторах нашей страны.,нет товара
"заказ шел 2 месяца. размер подошел  мой 46-48 заказала xl . верхние карманы оказались фальшивыми, непонятно, зачем городить молнию было, тем более она не ровно вшита. нижние карманы маленькие.",электроника
хорошая теплая кофта. все как в описании,одежда
"не стоит заплаченных денег    ткань плохая, полоска чёрная на самом видном месте",одежда
мало  xxxl подошел только на 42 размер ,одежда
товар не пришёл вернули деньги,товары для детей
"материал как у мед.халата...просвечивает, выглядит дешево. размер не соответствует. подклад где-то есть, а где-то нет... торчат нитки...900р это не стоит. я разочарована...",одежда
с размером не угадал. а так всё как на картинке. спасибо продавцу. рекомендую!,одежда
не подошёл размер,одежда
три месяца жду не получила блузку. жалко конечно,электроника
"от кофточки ожидала большего..судя по отзывам. оказалась велика, цвет не соответствует фото. не очень приятный запах, тут же отправила в стирку.",одежда
продавец отправил товар на другой адрес!! обман,украшения и аксессуары
"не ахти качество...доставка ужасная , пришлось потратить день , что бы найти ячейку куда бросила курьерская служба cdek это пальто",одежда
"кофточка хорошенькая,правда на 40_42 надо было на размер меньше брать",одежда
"на рост 163 и 44р брала l.по размеру вроде нормально,но талия высоко,платье очень короткое,особенно полклад.буду сама переделывать.так материал мягкий,цвет как заявлен.доставка быстрая.платье на очень маленький рост не выше 150",одежда
размер не соответствует. заказали 4xl по факту оказался на 50 размер максимум.,нет товара
отличная рубашка. отличное качество.,одежда
как на картинке!,одежда
размер куртки не соответствует вашей линейки размеров,одежда
"юбка классная,из плотного стрейча,смотрится супер,доставка три недели.",одежда
"состав 90  полиамид 10  эластан, даже ластовица, швы прошиты небольшиии шовчиками и проклеены клеем.",одежда
платье просто великолепное. качество супер. закажу в другом цвете ещё.,одежда
"качество средне..на картинке яркий ,а пришел не яркий цвет рукавов   ",одежда
"товар не пришел, деньги вернули",товары для детей
"свитер тонкий,но качество хорошее",одежда
материал на фото матовый похож на хлопок а на самом деле блестит и структура резины,одежда
цвет совсем не такой как был заказан,нет товара
заказ прислали на другой конец города. зачем продавцу адрес дается???,нет товара
"ткань хорошая, но модель какая-то несуразная. спина пошита как мужская рубашка, ни о какой приталиности речи не идет. наоборот очень широкая, как для горба. не буду носить.",одежда
прекрасная блузка. по размеру подошло. пришла быстро.,одежда
"юбка не плохая, но очень сильно маломерит. брала xl российский ношу l или похудею, или отдам дочке  предварительно ушив     доставка быстрая. трек отслеживался.",одежда
"очень классная, мне понравилось, материал мягкий, буду заказывать еще",электроника
товар пришёл с зелёными пятнами!,товары для детей
"на 46 размер взяла l , все хорошо, только вот рукав можно было бы длиннее сделать. а так в принципе не плохо.",одежда
хорошая куртка. красивый цвет,одежда
"подошло очень хорошо! у меня 90-76-92, размер м брала, качество неплохое, закажу ещё черный!",одежда
"really nice love them all with logo and nice sturdy quality,i will buy more.",одежда
"очень-очень довольна!!! отличный пошив и удачная модель! присутствует запах, но надеюсь выветрится. спасибо продавцу и удачных продаж!!! рекомендую!!!",одежда
"доставка быстрая,но размер не соответствует,xxl не налез даже на 48.качество хорошее. жаль,что не подошла.",товары для детей
"курьер принес домой, все хорошо, но в талии большевато",украшения и аксессуары
"заказ пришёл через 55 дней, ещё и с пятном еле еле отстирали ставлю 2",нет товара
"отличная юбка! качественный принт, приятная ткань  сильно тянется . размер подошел  на 48 размер брала xl . спасибо продавцу. собираюсь заказывать еще такую, но в другой расцветке",одежда
юбка выглядит очень дёшево. тянется плохо. ткань как будто дубовая и топорщится некрасиво. она скорее на размер 42-44,одежда
"кофта маломерит. на свои параметры по таблице размеров заказала l- оказалась маловата, по факту соответствует m. за это снимаю звезды",одежда
"кофта не подошла по размеру,качество ткани просто ужасное.",одежда
юбка пришла быстро. на размер 42-44 оказалась узкой резинка.,одежда
"заказ пришёл за 2,5 недели. трек отслеживался. упаковоно все очень хорошо. в подарок положили резинку для волос. спасибо большое продавцу",электроника
"не получила заказ, продавец вернул деньги",товары для детей
"послали по другому адресу, пришлось ставить на спор. недовольна продавцом!",товары для детей
"качество хорошие, но размер l оказался маловат.",одежда
спасибо большое за быстрату. красивый цвет,одежда
"куртка очень странная. по бокам нашиты подушки , которые здорово прибавляют фигуре объем. но теплая. качество хорошее",одежда
джинсы сильно воняют... на рост 165 размер 27 очень короткие по длине.. продавец обещал скидку сделать если ещё закажу и я поверила заказала еще маме...а он обманул...скидки не было.. и вторые джинсы не айс...,одежда
не знаю в каком месте это синий. сфоткала со вспышкой и без. на мой взгляд это черный не насыщенный. размер xl думаю максимум на 50р русский,одежда
"заказ пришёл за 2 недели. все по размеру.. но после первой носки верхний слой слез, теперь в мусор или под штаны.. очень жаль..",одежда
ни кофты ни денег только просьба не открывать спор и подождать четыре месяца прошло!!!! совести нет совсем!!!!,бытовая техника
"товар не пришёл, продавец отметил как доставлен, спор на возврат денег был открыт 02.11.17, деньги ещё не вернули",товары для детей
"очень много ниток. ткань приятная,в общем соответствует цена качеству.",одежда
"ладно бы просто в талии большие были, с ремнем нормально, но там образуется пузырь на месте живота, не знаю,что и делать",электроника
"кофта пришла быстро. ткань приятная к телу. но на кофте множество пятен, по моему жирных. попытаемся отстирать. размерный ряд не соответствует заявленному. маломерка, хотя длина рукавов хороша.",одежда
"туника хорошего качества, но был брак  шов неровный и сборил ",одежда
на рост 170 штаны короткие,одежда
доставка очень быстро 16 08 заказали 30 08 уже получили.,бытовая техника
"майку не получила, деньги вернули.",электроника
"кофта пришла ооочень маленького размера , т .е вообще не соответствует размеру я разачерованна.",одежда
"очень тоненький. цвет не такой как на фото, намного темнее. но за такую цену 565 руб. нормально",одежда
"куртка очень тонкая, на осень не пойдет, пуха очень мало и просвечевает через ткань, цвет белый не берите. летом в ней только ходить",одежда
куртка маломерит по сетке не проходит,одежда
"за такие деньги она оправдала себя. брала l на свой размер m и не прргадала, ибо можно было бы взять еще побольше.",электроника
ужасная синтетика с торчащими нитками,одежда
"размерная сетка не соответствует, заказывала 80d на русский 70d - оказался дико мал. качество не самое лучшее, чистая синтетика.",нет товара
цвета не яркие как на фото,одежда
"качество отличное, швы ровные, запаха нет и петель тоже нет, но это не критично. продавцу спасибо!",одежда
"платье просто супер!очень понравилось,качество пошива на отлично.на ог 106 и об 112 впритык.длина чуть ниже колена при росте 164 см.платье отслеживалось хорошо.купила за 1047 рублей.продавец молодец",одежда
"доставка в г. томск 16 дней. юбочка выполнена качественно, материал мягкий. но не подошла, так как заказали по размеру, а описания размера не читали. будьте внимательны! во стольном все понравилось, продавцу спасибо.",товары для детей
вещь только на маленькую грудь. никакой второй размер туда не поместится и ничего не держит. может служить только в качестве накладки для тех у кого на теле минимум.,одежда
"пипец! заказал xl, а пришёл хз знает какой, я думаю 42если не меньше! жесть!!!!!",нет товара
"пижама не доехала, застряла в китае, по истечении 2.5 месяцев поняла что её потеряли. деньги вернули быстро в течении недели",одежда
"размер только на ог от об 89 73 96, плечо 37, рост 164. тогда как на фото продавца. на размер более получатся в обтяг, она конечно тянется, но это просто ужасно.",одежда
if you order in the dimensional table set one size in my parameters. and came one size smaller. jacket small to me.,одежда
"маленькие, размер не соответствует",одежда
"платье пришло с зацепкой спереди, на видном месте    очень жаль, носить не смогу",одежда
пришли уже в полинявшем состоянии...носить невозможно,одежда
"колготки очень понравились, но пришли с браком.... пришлось открыть спор",одежда
"ткань - синтетика среднего качества, размерная сетка не соответствует действительности. нитки не торчат. не пахнет. в общем за такие деньги более менее.. рекомендую брать на размер побольше.",нет товара
"хорошие, плотные носки, прекрасно подошли на размер 39-40. ребенок доволен. рекомендую. спасибо.",одежда
"все пришло супер,быстро,качество класс,рекомендую",одежда
"размер не соответсвует ,немного не тот цвет,рассчитан для девочек лет 10-12",одежда
ужасная синтетика! расстроилась. размер наверно 48-50. своих денег не стоит вообще! хотела даже спор открыть,электроника
"товар заказывала в апреле,до августа так и не пришёл,деньги продавец вернуть отказался.не рекомендую",нет товара
материал не такой плотный и теплый.но мягкий. для летних вечеров самый раз,одежда
"к сожалению, платье не соответствует фотографии и описанию, на которой представлено платье. размер  s  очень сильно велик в талии, в плечах. рукава сильно короткие. длина платье, не то, что мини, а минимини.",одежда
размер маленький на 2 раза больше надо заказать,бытовая техника
"хорошая качественная рубашка, по размеру в целом подошла  немого только расходится в груди, но на мне все рубашки так сидят , доставка в тулу 3 недели. запаха нет.",одежда
к сожалению товар я не получила,одежда
"супер, очень нравится !",одежда
отличная рубашка! на 50-52 надо 4xl,одежда
"товар понравился полностью соответствует описанию. к телу приятные, пришли за две недели.",одежда
товар не пришел. деньги вернули. продовец очень общительный,нет товара
"приятная,мягкая.полоски яркие. на 42-44 м-ка хорошо и даже рукава не коротки.",одежда
"свой заказ я так и не получила, но спасибо за возврат денег.",бытовая техника
"заказала 2 кофты, красную и розовую. розовая оказалась больше и цвет не как на фото. ядерно розовый. как у барби.",нет товара
заказали ххл но он подошёл на 40- 42 на вес 51 рост 161 шел месяцев отслеживается качество хорошее с хлопком плотный не прилипает грязь,электроника
отличная футболка! качество хорошее. быстрая доставка. спасибо продавцу!,одежда
"ужасная кофта. ждала очень долго,так мне еще и деньги не вернули!! кофта мала,и качество как половая тряпка",одежда
"толстовка так себе, молния металическая дешёвая, желтая, не как на фото, от этого вид хуже.сшита неплохо, но верх блестящая синтетика, быстро покрывающаяся каташками пошла на дачу ",одежда
пришло совсем не то что заказывали,украшения и аксессуары
"посылка не дошла, деньги вернули.",товары для детей
"размер 3xl на 46-48. на меня мало. не соответствует фото. в реальности спереди подол короче сантиметров на 10, рукава без отворотов, ткань полусинтетика.",одежда
"размер не соответствует, очень маленький, на подростка",одежда
"заказала пришёл другой цвет, плохого качества, не такое как на фотографии!!!первый раз заказывала и не удачно",электроника
"хорошая, тёплая толстовка! размер на худенького подростка , моему ребёнку 13 лет, село в самый раз. спасибо за быструю доставку и подарочек, очень приятно!",одежда
"качество пуховика не плохое, но смутили пятна не понятного происхождения",одежда
"по итогу,заказ не получила.открыла спор,который борианули со всеми моими претензиями.почта россии похерила или с номером отслеживания какая то беда...",нет товара
"яркое, красивое, классное. рекомендую.",одежда
"размер не соответствует, сильно маломерит. заказала s, а нужно было м, а может даже l. написала продавцу, даже не ответил.",нет товара
вместо шорт продавец прислал какую-то хрень,украшения и аксессуары
"кофта не на долгую носку.после стирки качество ооочень испортилось! а так симпатичная, хорошо смотрится!",одежда
очень лёгкая но не просвечивает к телу приятно смотрится супер размер соответствует действительности на 42 брала s,одежда
заказ не пришел. деньги вернули через 4 месяца.,украшения и аксессуары
"товар не пришел 2 месяца ждала, на сообщение не отвечают, деньги не вернули",товары для детей
"ужасный товар , не кому не советую, даже дома стыдно одевать",одежда
"на фото более толстая вязка, на самом деле тонкий трикотаж. разочарована. покупать не советую.",одежда
все хорошо,одежда
"доставка быстрая и курьером до двери, что очень порадовало, материал хороший натуральный",товары для детей
"товар пришёл быстро,продавец хороший. по качеству товар не очень хороший,после первой носки стал скатываться!это очень расстроило меня.цена приличная, а качество плохое!",нет товара
пришли с браком,одежда
"это просто ужас! по совету продавца на свой русский s заказала размер m и я в нем утонула. боди очень большое, не подошло. я очень расстроена. отдала маме, на ней еще более менее. товар не рекомендую!",одежда
